"Falling Down","Unknown","Unknown"
"Candyman","Unknown","Unknown"
"Westworld","Unknown","Unknown"
"Looney Tunes & Merrie Melodies","Cartoons","Unknown"
"Planet of the Apes","Unknown","Unknown"
"American Psycho","Unknown","Unknown"
"Hellraiser III: Hell on Earth","Unknown","Unknown"
"Contact","Unknown","Unknown"
"Escape from New York","Unknown","Unknown"
"Aeon Flux","TV Series","Unknown"
"Conan the Barbarian","Unknown","Unknown"
"True Romance","Unknown","Unknown"
"Punisher, The","Unknown","Unknown"
"War of the Worlds, The","Unknown","Unknown"
"Mad Max Beyond Thunderdome","Unknown","Unknown"
"Few Good Men, A","Unknown","Unknown"
"I'll Cry Tomorrow","Unknown","Unknown"
"Soylent Green","Unknown","Unknown"
"Lord Of Illusions","Unknown","Unknown"
"Rivera, Geraldo","TV Host","Unknown"
"Head","The Monkees Movie","Unknown"
"Phantasm II","Unknown","Unknown"
"Hitcher, The","Unknown","Unknown"
"Split Second","Unknown","Unknown"
"Life of Brian","Unknown","Unknown"
"Casablanca","Unknown","Unknown"
"Batman","TV Series","Unknown"
"Atomic Cafe, The","Unknown","Unknown"
"Innocents, The","Unknown","Unknown"
"Kasem, Casey","Radio DJ","Unknown"
"Doctor Who","TV Show","Unknown"
"Fly, The","Unknown","Unknown"
"Marat/Sade","Unknown","Unknown"
"Mark of the Devil","Unknown","Unknown"
"Kalifornia","Unknown","Unknown"
"Pitch Black","Unknown","Unknown"
"Wizard of Gore, The","Unknown","Unknown"
"Maniac","Unknown","Unknown"
"Nightmare on Elm Street 4, A","Unknown","Unknown"
"Unholy, The","Unknown","Unknown"
"Making Money","Infomercial","Unknown"
"Naked Lunch","Unknown","Unknown"
"Charlie's Family","Unknown","Unknown"
"Independence Day","Unknown","Unknown"
"Performance","Unknown","Unknown"
"Star Trek: First Contact","Unknown","Unknown"
"Ruling Class, The","Unknown","Unknown"
"Eraserhead","Unknown","Unknown"
"Haunting, The","Unknown","Unknown"
"Phantasm","Unknown","Unknown"
"Basic Instinct","Unknown","Unknown"
"Natural Born Killers","Unknown","Unknown"
"Nightbreed","Unknown","Unknown"
"Forbidden Planet","Unknown","Unknown"
"Island of Doctor Moreau, The","Unknown","Unknown"
"Monty Python and The Holy Grail","Unknown","Unknown"
"Shadow of a Doubt","Unknown","Unknown"
"Johnny Mnemonic","Unknown","Unknown"
"Indiana Jones and the Temple of Doom","Unknown","Unknown"
"Transformers, The","Unknown","Unknown"
"Armageddon","Unknown","Unknown"
"Occult Experience, The","Unknown","Unknown"
"Jackson, Jesse","Candidate","Unknown"
"Scream","Unknown","Unknown"
"Car Wash","Unknown","Unknown"
"Star Trek VI: The Undiscovered Country","Unknown","Unknown"
