"Terminal Choice","Musician","Unknown"
"Alien Project","Musician","Unknown"
"Brainchild","Musician","Unknown"
"Supertramp","Musician","Unknown"
"Cyberaktif","Musician","Unknown"
"Namlook, Pete","Musician","Unknown"
"Alpha Team, The","Musician","Unknown"
"Frightmare","Musician","Unknown"
"CombiChrist","Musician","Unknown"
"Index","Musician","Unknown"
"Pink Floyd","Musician","Unknown"
"Final Cut, The","Musician","Unknown"
"Mark Stewart + Maffia","Musician","Unknown"
"Consolidated","Musician","Unknown"
"Hive","Musician","Unknown"
"Pigface","Musician","Unknown"
"Download","Musician","Unknown"
"Rush","Musician","Unknown"
"Babyland","Musician","Unknown"
"Birmingham 6","Musician","Unknown"
"Creaming Jesus","Musician","Unknown"
"GGFH","Musician","Unknown"
"JP 69","Musician","Unknown"
"Non","Musician","Unknown"
"Single Gun Theory","Musician","Unknown"
"Skrew","Musician","Unknown"
"Stromkern","Musician","Unknown"
"Kill Switch...Klick","Musician","Unknown"
"Limbomaniacs","Musician","Unknown"
"Lucky People Center","Musician","Unknown"
"SITD","Musician","Unknown"
"Venetian Snares","Musician","Unknown"
"Time Modem","Musician","Unknown"
"Hybryds","Musician","Unknown"
"Queen","Musician","Unknown"
"Aborted","Musician","Unknown"
"Cypress Hill","Musician","Unknown"
"Electro Assassin","Musician","Unknown"
"Gorelord","Musician","Unknown"
"Meat Shits","Musician","Unknown"
"Shamen, The","Musician","Unknown"
"Battery","Musician","Unknown"
"Cenobita","Musician","Unknown"
"De La Soul","Musician","Unknown"
"Inside Treatment","Musician","Unknown"
"O.K.","Musician","Unknown"
"KiEw","Musician","Unknown"
"New Order","Musician","Unknown"
"DJ Paul Elstak","Musician","Unknown"
"Slipknot","Musician","Unknown"
"Static Engine","Musician","Unknown"
"Flesh Field","Musician","Unknown"
"Severed Heads","Musician","Unknown"
"SMP","Musician","Unknown"
"Spahn Ranch","Musician","Unknown"
"Blind Vision","Musician","Unknown"
"Electronic Dream Factory","Musician","Unknown"
"Klinik","Musician","Unknown"
"Voice of Destruction","Musician","Unknown"
"Boogie Down Productions","Musician","Unknown"
"KLF, The","Musician","Unknown"
"Paris","Musician","Unknown"
"Pressurehed","Musician","Unknown"
"Primus","Musician","Unknown"
"1.8.7","Musician","Unknown"
"Infected Mushroom","Musician","Unknown"
"DJ Shadow","Musician","Unknown"
"Forma Tadre","Musician","Unknown"
"James Ray's Gangwar","Musician","Unknown"
"Killwhitneydead","Musician","Unknown"
"This Morn' Omina","Musician","Unknown"
"Greater than One","Musician","Unknown"
"Solitary Experiments","Musician","Unknown"
"Holy Noise","Musician","Unknown"
"Batz Without Flesh","Musician","Unknown"
"Eric B and Rakim","Musician","Unknown"
"Kurtis Blow","Musician","Unknown"
"Noisex","Musician","Unknown"
"Pitch Shifter","Musician","Unknown"
"Wu-Tang Clan","Musician","Unknown"
"Agonoize","Musician","Unknown"
"Coptic Rain","Musician","Unknown"
"Gorillaz","Musician","Unknown"
"Jeru the Damaja","Musician","Unknown"
"Ruthless Rap Assassins","Musician","Unknown"
"Skatenigs","Musician","Unknown"
"Ultramagnetic M.C.'s","Musician","Unknown"
"People Like Us","Musician","Unknown"
"Entombed","Musician","Unknown"
"Expect","Musician","Unknown"
"Chemlab","Musician","Unknown"
"Acumen Nation","Musician","Unknown"
"Alien Sex Fiend","Musician","Unknown"
"Crystal Method, The","Musician","Unknown"
"Def Leppard","Musician","Unknown"
"DJ Tron","Musician","Unknown"
"Primal Scream","Musician","Unknown"
"Raekwon","Musician","Unknown"
"Run Level Zero","Musician","Unknown"
"Flytronix","Musician","Unknown"
"Rufige Kru","Musician","Unknown"
"Schreck, Marita","Musician","Unknown"
"Warzau, Die","Musician","Unknown"
"Art of Noise, The","Musician","Unknown"
"Hardcastle, Paul","Musician","Unknown"
"2 Live Crew","Musician","Unknown"
"Amgod","Musician","Unknown"
"D.H.S.","Musician","Unknown"
"Depeche Mode","Musician","Unknown"
"DJ Quicksilver","Musician","Unknown"
"Dom & Roland","Musician","Unknown"
"God Module","Musician","Unknown"
"Gruesome Twosome","Musician","Unknown"
"Hanzel und Gretyl","Musician","Unknown"
"Infrarave","Musician","Unknown"
"Legendary Pink Dots","Musician","Unknown"
"Pow[d]er Pussy","Musician","Unknown"
"Amon Tobin","Musician","Unknown"
"In Absentia","Musician","Unknown"
"Lustmord","Musician","Unknown"
"Tear Garden, The","Musician","Unknown"
"Terminal Sect","Musician","Unknown"
"Barbarella","Musician","Unknown"
"Brume","Musician","Unknown"
"Internal Error","Musician","Unknown"
"Utah Saints","Musician","Unknown"
"WMTID","Musician","Unknown"
"Bio-Tek","Musician","Unknown"
"Delta 9","Musician","Unknown"
"Deutsch Nepal","Musician","Unknown"
"Hocico","Musician","Unknown"
"In Strict Confidence","Musician","Unknown"
"Lights of Euphoria","Musician","Unknown"
"Mimetic","Musician","Unknown"
"Panzer AG","Musician","Unknown"
"Reload","Musician","Unknown"
"Sequential","Musician","Unknown"
"Suicide Commando","Musician","Unknown"
"Three Times Dope","Musician","Unknown"
"Tool","Musician","Unknown"
"Zero Defects","Musician","Unknown"
"Fixated","Musician","Unknown"
"Lemon Jelly","Musician","Unknown"
"Afro's, The","Musician","Unknown"
"Anthrax","Musician","Unknown"
"Aphex Twin","Musician","Unknown"
"Blood Axis","Musician","Unknown"
"Cleen","Musician","Unknown"
"DJ Jazzy Jeff & The Fresh Prince","Musician","Unknown"
"Doormouse","Musician","Unknown"
"EMF","Musician","Unknown"
"Key, cEvin","Musician","Unknown"
"King of Slack","Musician","Unknown"
"Krupps, Die","Musician","Unknown"
"Living Colour","Musician","Unknown"
"Lords of Acid","Musician","Unknown"
"Object","Musician","Unknown"
"Pet Shop Boys","Musician","Unknown"
"Tech Itch","Musician","Unknown"
"Aphrodite","Musician","Unknown"
"C-Drone-Defect","Musician","Unknown"
"Numan, Gary","Musician","Unknown"
"Smothered Hope","Musician","Unknown"
"Martyr Colony","Musician","Unknown"
"Mikulic, Boris","Musician","Unknown"
"Negru Voda","Musician","Unknown"
"808 State","Musician","Unknown"
"Azoic, The","Musician","Unknown"
"Caustic Window","Musician","Unknown"
"Deathline International","Musician","Unknown"
"Dream Theater","Musician","Unknown"
"Fields Of The Nephilim","Musician","Unknown"
"Galan Pixs, The","Musician","Unknown"
"Hawkwind","Musician","Unknown"
"Informatik","Musician","Unknown"
"Kayseri","Musician","Unknown"
"Manufactura","Musician","Unknown"
"Marduk","Musician","Unknown"
"Masta Ace Incorporated","Musician","Unknown"
"New Kingdom","Musician","Unknown"
"Numb","Musician","Unknown"
"Pleasure Game","Musician","Unknown"
"Porcupine Tree","Musician","Unknown"
"Prodigy","Musician","Unknown"
"S'Express","Musician","Unknown"
"S.P.O.C.K.","Musician","Unknown"
"Shiverhead","Musician","Unknown"
"Skinless","Musician","Unknown"
"Soulstorm","Musician","Unknown"
"Bolland, C.J.","Musician","Unknown"
"Extince","Musician","Unknown"
"Fantastischen Vier, Die","Musician","Unknown"
"Haig, Paul","Musician","Unknown"
"New Scene","Musician","Unknown"
"Sielwolf","Musician","Unknown"
"Sonic Subjunkies","Musician","Unknown"
"Yankovic, Weird Al","Musician","Unknown"
"Complex","Musician","Unknown"
"Godflesh","Musician","Unknown"
"JAMs, The","Musician","Unknown"
"Prophet, The","Musician","Unknown"
"T.I.S.M.","Musician","Unknown"
"Undertaker, The","Musician","Unknown"
"Alcove","Musician","Unknown"
"Digable Planets","Musician","Unknown"
"Hate Dept.","Musician","Unknown"
"I, Parasite","Musician","Unknown"
"Immortal Technique","Musician","Unknown"
"Peace, Love and Pitbulls","Musician","Unknown"
"PMD","Musician","Unknown"
"Praga Khan","Musician","Unknown"
"Terrorfakt","Musician","Unknown"
"Test Department","Musician","Unknown"
"Blue System","Musician","Unknown"
"Frequency Surfer","Musician","Unknown"
"Mac Sample","Musician","Unknown"
"Sub Nation","Musician","Unknown"
"yelworC","Musician","Unknown"
"Armageddon Dildos","Musician","Unknown"
"Atari Teenage Riot","Musician","Unknown"
"Blanka","Musician","Unknown"
"Cassandra Complex","Musician","Unknown"
"Chubb Rock","Musician","Unknown"
"Compton's Most Wanted","Musician","Unknown"
"Def Jef","Musician","Unknown"
"Dino Psaras","Musician","Unknown"
"Egma","Musician","Unknown"
"Evil's Toy","Musician","Unknown"
"Hallucinogen","Musician","Unknown"
"Heavy Water Factory","Musician","Unknown"
"Interface","Musician","Unknown"
"Neuroticfish","Musician","Unknown"
"Prayer Tower","Musician","Unknown"
"Ram Trilogy","Musician","Unknown"
"Retrosic, The","Musician","Unknown"
"Soman","Musician","Unknown"
"Spit","Musician","Unknown"
"Terminal Power Company","Musician","Unknown"
"Thomas E.","Musician","Unknown"
"Ticket to Wonderland","Musician","Unknown"
"Bass Inc.","Musician","Unknown"
"Code","Musician","Unknown"
"Death Ride 69","Musician","Unknown"
"Omala","Musician","Unknown"
"Overflash","Musician","Unknown"
"Biz Markie","Musician","Unknown"
"Boole","Musician","Unknown"
"Clail, Gary","Musician","Unknown"
"Converter - Asche - Morgenstern","Musician","Unknown"
"Current 93","Musician","Unknown"
"Dance or Die","Musician","Unknown"
"Deicide","Musician","Unknown"
"Dr. Octagon","Musician","Unknown"
"Erasure","Musician","Unknown"
"Foetus","Musician","Unknown"
"Fun Lovin' Criminals","Musician","Unknown"
"Fury in the Slaughterhouse","Musician","Unknown"
"Hilt","Musician","Unknown"
"Hyperdex-1-Sect","Musician","Unknown"
"Jungle Brothers","Musician","Unknown"
"Jungle House Crew","Musician","Unknown"
"Kubusschnitt","Musician","Unknown"
"Loop","Musician","Unknown"
"Love Interest","Musician","Unknown"
"Man with No Name","Musician","Unknown"
"Mindware","Musician","Unknown"
"O'Connor, Sinead","Musician","Unknown"
"Origin Unknown","Musician","Unknown"
"Pantera","Musician","Unknown"
